日期,成交仟股,成交仟元,開盤,最高,最低,收盤,漲跌,筆數
106/01/17,928,36833,39.7,39.78,39.51,39.69,0.13,225
106/01/18,601,23856,39.66,39.72,39.65,39.65,-0.04,114
106/01/19,1001,39362,39.5,39.5,39.26,39.35,-0.3,102
106/01/20,261,10177,39.05,39.06,38.92,38.92,-0.43,73
106/01/23,338,13172,38.93,38.99,38.88,38.88,-0.04,39
106/01/24,861,33637,39.07,39.11,39.02,39.09,0.21,85
106/02/02,639,24503,38.36,38.37,38.28,38.37,-0.72,54
106/02/03,1286,49040,38.18,38.19,38.09,38.13,-0.24,87
106/02/06,833,31631,38.01,38.01,37.9,37.96,-0.17,78
106/02/07,399,15302,38.27,38.37,38.25,38.34,0.38,53
106/02/08,416,16063,38.5,38.64,38.5,38.59,0.25,49
106/02/09,474,18501,39.08,39.08,38.94,38.95,0.36,63
106/02/10,348,13455,38.67,38.67,38.61,38.63,-0.32,36
106/02/13,361,13910,38.55,38.55,38.47,38.51,-0.12,32
106/02/14,351,13417,38.34,38.34,38.18,38.2,-0.31,53
106/02/15,492,18646,38.01,38.01,37.8,37.81,-0.39,79
106/02/16,339,12788,37.74,37.81,37.7,37.8,-0.01,33
106/02/17,78,2956,37.87,37.92,37.87,37.89,0.09,30
106/02/18,25,954,37.94,38.2,37.94,38.12,0.23,21
106/02/20,106,4041,38.14,38.15,38.09,38.09,-0.03,13
106/02/21,61,2321,38.03,38.09,38.02,38.06,-0.03,21
106/02/22,310,11773,37.98,38.0,37.92,37.98,-0.08,50
106/02/23,18,687,38.09,38.18,38.09,38.18,0.2,14
106/02/24,197,7518,38.14,38.21,38.14,38.17,-0.01,22
106/03/01,251,9584,38.23,38.25,38.15,38.16,-0.01,31
106/03/02,382,14491,37.9,37.99,37.87,37.97,-0.19,40
106/03/03,1299,49491,37.97,38.16,37.97,38.12,0.15,33
106/03/06,25,955,38.16,38.22,38.16,38.18,0.06,15
106/03/07,285,10821,37.96,37.99,37.9,37.9,-0.28,45
106/03/08,133,5023,37.77,37.82,37.75,37.75,-0.15,57
106/03/09,203,7647,37.7,37.7,37.62,37.67,-0.08,38
106/03/10,150,5624,37.52,37.55,37.47,37.51,-0.16,53
106/03/13,45,1680,37.44,37.53,37.44,37.52,0.01,25
106/03/14,557,20768,37.32,37.32,37.22,37.32,-0.2,55
106/03/15,1805,67555,37.49,37.49,37.4,37.42,0.1,80
106/03/16,1801,67723,37.76,37.77,37.52,37.6,0.18,95
106/03/17,1569,58517,37.27,37.33,37.22,37.3,-0.3,98
106/03/20,316,11835,37.6,37.6,37.44,37.45,0.15,73
106/03/21,3044,113979,37.45,37.51,37.41,37.49,0.04,108
106/03/22,2107,79992,37.67,38.0,37.67,37.95,0.46,114
106/03/23,1588,60355,38.06,38.06,37.93,38.0,0.05,52
106/03/24,928,35178,37.94,37.94,37.86,37.9,-0.1,33
106/03/27,844,32172,38.1,38.12,38.06,38.07,0.17,46
106/03/28,1458,55236,37.98,37.99,37.84,37.9,-0.17,58
106/03/29,2550,96003,37.7,37.7,37.62,37.69,-0.21,94
106/03/30,3109,118041,37.74,38.0,37.74,38.0,0.31,265
106/03/31,12347,467231,37.82,37.88,37.81,37.83,-0.17,430
106/04/05,1764,67244,37.99,38.2,37.99,38.15,0.32,225
106/04/06,2254,86244,38.16,38.33,38.11,38.33,0.18,172
106/04/07,6866,264914,38.33,38.67,38.31,38.53,0.2,196
106/04/10,12865,493278,38.43,38.43,38.3,38.37,-0.16,171
106/04/11,8231,317993,38.45,38.67,38.42,38.58,0.21,152
106/04/12,127,4945,38.97,39.0,38.85,38.85,0.27,70
106/04/13,70,2717,38.85,38.95,38.7,38.72,-0.13,32
106/04/14,60,2327,38.8,38.96,38.75,38.77,0.05,50
106/04/17,87,3377,38.77,38.86,38.77,38.83,0.06,75
106/04/18,1075,41634,38.65,38.79,38.65,38.75,-0.08,66
106/04/19,1666,65169,39.0,39.14,38.99,39.08,0.33,99
106/04/20,1878,73346,39.08,39.08,39.03,39.08,0.0,78
106/04/21,1649,64004,38.86,38.86,38.8,38.83,-0.25,103
106/04/24,1664,63777,38.25,38.34,38.25,38.33,-0.5,77
